Id,SalePrice
1461,121549.16420194399
1462,143269.6946556693
1463,178738.4756770362
1464,182526.64341355785
1465,180750.58515352584
1466,181361.75899661615
1467,173770.1562735697
1468,179424.48046425972
1469,177247.64703325834
1470,119761.63098609397
1471,195635.38007057217
1472,96322.6300217988
1473,94444.44993158818
1474,144448.49324994767
1475,127959.82378156972
1476,411907.1134470505
1477,263532.0012468897
1478,317138.06153516367
1479,310412.3212286001
1480,507780.19127652096
1481,304003.1134596005
1482,210476.0957680379
1483,183070.58904128245
1484,173143.29948737044
1485,172062.67139774986
1486,204574.65960268656
1487,356040.61718745617
1488,253230.49519612823
1489,209425.60537908657
1490,195297.18231363973
1491,192976.51407167353
1492,86380.43519838355
1493,204933.25365247548
1494,291380.83604406595
1495,268797.3628654035
1496,225781.83579980992
1497,176211.11330256338
1498,149708.80958377453
1499,149809.0275042876
1500,142450.7420990754
1501,163534.33031520032
1502,143057.69612799605
1503,303044.2806840626
1504,224179.21187461246
1505,216032.72897638156
1506,159482.12248819275
1507,230604.5868560497
1508,190341.8566950665
1509,155242.15149669835
1510,145727.48435118588
1511,151404.98630085378
1512,158165.20931545008
1513,144512.67571342603
1514,152928.89728230317
1515,253532.00726009652
1516,154294.4526649461
1517,154409.90272605242
1518,133669.62813992213
1519,213100.57098991453
1520,132164.5601794527
1521,137343.92792782024
1522,177096.3795877217
1523,119579.6630965895
1524,117569.87692370292
1525,119824.16804788585
1526,120445.95462537686
1527,91802.5506629154
1528,133934.0206833266
1529,145074.46111635535
1530,158295.78210341994
1531,120205.58773805488
1532,96269.71257022911
1533,148169.23653925507
1534,140775.65343232913
1535,155891.60807273682
1536,108667.79709991779
1537,86534.76637424796
1538,163026.8393305258
1539,183613.05012703486
1540,109430.23279562997
1541,150276.9778575519
1542,150900.80696037356
1543,204165.61591220612
1544,74749.62902714778
1545,105311.5008480623
1546,130263.6253987954
1547,135365.06525572622
1548,129571.76859328803
1549,114534.12501845798
1550,134330.4806257094
1551,126877.34289382462
1552,142743.45837950424
1553,146938.7644086279
1554,123293.34385339383
1555,162209.31935223239
1556,116823.62182683586
1557,103825.22685094789
1558,94536.07187348443
1559,97784.3062639712
1560,130028.45849973736
1561,118447.27908548387
1562,128708.68384724743
1563,121164.04227948842
1564,166807.79102247502
1565,160138.72369996083
1566,238567.2259352697
1567,74273.41451100478
1568,194765.98200481935
1569,131423.07379398847
1570,129495.3141117154
1571,132748.42859799642
1572,143500.1416828713
1573,275627.1011607134
1574,142892.86241945386
1575,219423.25436638857
1576,204178.96486301618
1577,209274.95853478962
1578,130614.48894751463
1579,153143.13056606278
1580,192931.08232909095
1581,143184.94700615967
1582,128225.35256672365
1583,313226.33525765984
